"","Estacao","Data","value"
"327","RD023",2016 mai,296
"328","RD023",2016 jun,162
"329","RD023",2016 jul,154
"330","RD023",2016 ago,139
"331","RD023",2016 set,256
"332","RD023",2016 out,244
"333","RD023",2016 nov,454
"334","RD023",2016 dez,1159
"335","RD023",2017 jan,231
"336","RD023",2017 fev,93.1
"337","RD023",2017 jul,77.5
"338","RD023",2017 ago,56.6
"339","RD023",2017 set,476
"340","RD023",2017 out,46.7
"341","RD023",2017 nov,69.4
"342","RD023",2017 dez,4489
"343","RD023",2018 jan,124
"344","RD023",2018 mar,250
"345","RD023",2018 abr,211
"346","RD023",2018 mai,43.3
"347","RD023",2018 jun,15.8
"348","RD023",2018 jul,13.7
"349","RD023",2018 ago,47.2
"350","RD023",2018 set,27.2
"351","RD023",2018 out,7.14
"352","RD023",2018 nov,57.4
"353","RD023",2018 dez,194
"354","RD023",2019 jan,46.7
"355","RD023",2019 fev,47.4
"356","RD023",2019 mar,127
"357","RD023",2019 abr,37.4
"358","RD023",2019 mai,25.5
"359","RD023",2019 jul,9.3
"360","RD023",2019 ago,8.07
"361","RD023",2019 set,9.3
"362","RD023",2019 out,7.94
"363","RD023",2019 nov,35.6
"364","RD023",2019 dez,204
"365","RD023",2020 jan,164
"366","RD023",2020 fev,197
"367","RD023",2020 mar,543
"368","RD023",2020 mai,24.6
"369","RD023",2020 jun,34.5
"370","RD023",2020 jul,23.2
"371","RD023",2020 ago,17.8
"372","RD023",2020 set,12.2
"373","RD023",2020 out,19.7
"374","RD023",2020 nov,54.1
"375","RD023",2020 dez,181
"376","RD023",2021 jan,104
"377","RD023",2021 fev,200
"378","RD023",2021 mar,317
"379","RD023",2021 abr,43.6
"380","RD023",2021 mai,27.5
"381","RD023",2021 jun,6.8
"382","RD023",2021 jul,11.3
"383","RD023",2021 ago,12
"384","RD023",2021 set,7.45
"385","RD023",2021 out,54.8
"386","RD023",2021 nov,1950
"387","RD023",2021 dez,326
"388","RD023",2022 jan,273
"389","RD023",2022 fev,870
"390","RD023",2022 mar,126
"391","RD023",2022 abr,66.4
"392","RD023",2022 mai,64
"393","RD023",2022 jun,36.3
"394","RD033",1997 jul,15
"395","RD033",1997 nov,30
"396","RD033",1998 mar,20
"397","RD033",1998 ago,8.2
"398","RD033",1998 nov,109
