"","Estacao","Data_de_Amostragem","Ano","Turbidez","Data"
"172","RD023",2004-04-29,2004,101,2004 abr
"173","RD023",2004-07-22,2004,42.8,2004 jul
"174","RD023",2004-10-21,2004,28.7,2004 out
"175","RD023",2005-01-20,2005,310,2005 jan
"176","RD023",2005-04-22,2005,53.4,2005 abr
"177","RD023",2005-07-14,2005,19,2005 jul
"178","RD023",2005-10-06,2005,16,2005 out
"179","RD023",2006-01-19,2006,42.2,2006 jan
"180","RD023",2006-04-20,2006,16.2,2006 abr
"181","RD023",2006-07-14,2006,12.3,2006 jul
"182","RD023",2006-10-06,2006,10.7,2006 out
"183","RD033",2002-02-26,2002,374,2002 fev
"184","RD033",2002-04-29,2002,45.9,2002 abr
"185","RD033",2002-08-02,2002,23,2002 ago
"186","RD033",2002-10-25,2002,141,2002 out
"187","RD033",2003-02-18,2003,86.2,2003 fev
"188","RD033",2003-05-05,2003,22.2,2003 mai
"189","RD033",2003-07-25,2003,19.5,2003 jul
"190","RD033",2003-10-24,2003,27.3,2003 out
"191","RD033",2004-01-23,2004,276,2004 jan
"192","RD033",2004-04-30,2004,96,2004 abr
"193","RD033",2004-07-23,2004,41.9,2004 jul
"194","RD033",2004-10-22,2004,43.5,2004 out
"195","RD033",2005-01-21,2005,277,2005 jan
"196","RD033",2005-04-25,2005,71.6,2005 abr
"197","RD033",2005-07-15,2005,13.3,2005 jul
"198","RD033",2005-10-07,2005,39.5,2005 out
"199","RD033",2006-01-20,2006,21.9,2006 jan
"200","RD033",2006-04-24,2006,33.8,2006 abr
"201","RD033",2006-07-17,2006,16.3,2006 jul
"202","RD033",2006-10-09,2006,12,2006 out
"203","RD035",2002-02-25,2002,320,2002 fev
"204","RD035",2002-04-28,2002,51.8,2002 abr
"205","RD035",2002-08-01,2002,21.2,2002 ago
"206","RD035",2002-10-24,2002,97.2,2002 out
"207","RD035",2003-02-17,2003,84.6,2003 fev
"208","RD035",2003-05-02,2003,25.6,2003 mai
"209","RD035",2003-07-24,2003,20.7,2003 jul
"210","RD035",2003-10-23,2003,15.8,2003 out
"211","RD035",2004-01-22,2004,157,2004 jan
"212","RD035",2004-04-29,2004,98.7,2004 abr
"213","RD035",2004-07-22,2004,41.4,2004 jul
"214","RD035",2004-10-21,2004,25.6,2004 out
"215","RD035",2005-01-20,2005,359,2005 jan
"216","RD035",2005-04-22,2005,278,2005 abr
"217","RD035",2005-07-14,2005,22.9,2005 jul
"218","RD035",2005-10-06,2005,48,2005 out
"219","RD035",2006-01-19,2006,35.5,2006 jan
"220","RD035",2006-04-20,2006,33.6,2006 abr
"221","RD035",2006-07-14,2006,17.5,2006 jul
"222","RD035",2006-10-06,2006,23.7,2006 out
"223","RD044",2002-02-26,2002,265,2002 fev
"224","RD044",2002-04-29,2002,42.2,2002 abr
"225","RD044",2002-08-02,2002,14.1,2002 ago
"226","RD044",2002-10-25,2002,86.4,2002 out
"227","RD044",2003-02-18,2003,72.8,2003 fev
"228","RD044",2003-05-05,2003,29.9,2003 mai
"229","RD044",2003-07-25,2003,11.1,2003 jul
"230","RD044",2003-10-24,2003,794,2003 out
"231","RD044",2004-01-23,2004,186,2004 jan
"232","RD044",2004-04-30,2004,115,2004 abr
"233","RD044",2004-07-23,2004,38.8,2004 jul
"234","RD044",2004-10-22,2004,24.7,2004 out
"235","RD044",2005-01-21,2005,293,2005 jan
"236","RD044",2005-04-25,2005,93.1,2005 abr
"237","RD044",2005-07-15,2005,19.8,2005 jul
"238","RD044",2005-10-07,2005,41.6,2005 out
"239","RD044",2006-01-20,2006,38.7,2006 jan
"240","RD044",2006-04-24,2006,28,2006 abr
"241","RD044",2006-07-17,2006,8.84,2006 jul
"242","RD044",2006-10-09,2006,18.2,2006 out
"243","RD045",2002-02-27,2002,243,2002 fev
"244","RD045",2002-04-29,2002,41.2,2002 abr
"245","RD045",2002-08-04,2002,14.8,2002 ago
"246","RD045",2002-10-28,2002,25.1,2002 out
"247","RD045",2003-02-19,2003,110,2003 fev
"248","RD045",2003-05-06,2003,49,2003 mai
"249","RD045",2003-07-27,2003,17.9,2003 jul
"250","RD045",2003-10-26,2003,149,2003 out
"251","RD045",2004-01-25,2004,797,2004 jan
"252","RD045",2004-05-02,2004,77.8,2004 mai
"253","RD045",2004-07-25,2004,59,2004 jul
"254","RD045",2004-10-24,2004,18.7,2004 out
"255","RD045",2005-01-23,2005,166,2005 jan
